Tiempo,Temperatura,Resistencia
4470,47.1824,118.3261
4475,47.0802,118.2736
4480,46.7398,118.2343
4485,47.0121,118.1949
4490,47.0802,118.313
4495,46.8759,118.1818
4500,46.6036,118.2736
4505,46.6717,118.0768
4510,46.6376,118.0374
4515,46.5696,117.9718
4520,46.944,118.0768
4525,46.5696,118.1161
4530,46.8759,118.0899
4535,46.8759,118.0505
4540,46.5015,118.103
4545,46.1951,118.0243
4550,46.2291,117.8143
4555,46.2291,118.208
4560,46.2632,118.0243
4565,46.093,117.8799
4570,46.2632,117.9324
4575,46.0249,117.8406
4580,45.9568,117.998
4585,46.0249,117.8275
4590,46.093,117.7487
4595,46.3313,117.9324
4600,45.9909,117.8537
4605,45.9909,117.8668
4610,45.8207,117.8799
4615,45.9228,117.7487
4620,45.8888,117.7881
4625,45.5825,117.7618
4630,46.0249,117.8012
4635,45.6846,117.9849
4640,45.4463,117.7356
4645,45.4463,117.6306
4650,45.5825,117.8537
4655,45.6165,117.7356
4660,45.4123,117.7094
4665,45.8888,117.5912
4670,45.3102,117.6962
4675,45.4804,117.7225
4680,45.2422,117.6962
4685,45.8547,117.565
4690,45.9228,117.5388
4695,45.4123,117.6831
4700,45.2081,117.6569
4705,45.3102,117.4863
4710,45.1061,117.565
4715,45.2762,117.3682
4720,45.1741,117.5912
4725,45.3102,117.5781
4730,44.6297,117.4469
4735,45.072,117.5519
4740,45.2422,117.3682
4745,44.97,117.4994
4750,45.1061,117.4994
4755,44.9359,117.3944
4760,44.8339,117.3813
4765,44.9019,117.4207
4770,45.3783,117.4075
4775,44.9019,117.3682
4780,44.8679,117.5781
4785,44.9019,117.5256
4790,44.7318,117.2501
4795,45.038,117.4075
4800,44.6978,117.2501
4805,44.5277,117.3288
4810,44.3916,117.3682
4815,44.4936,117.1976
4820,44.5617,117.2369
4825,44.7318,117.3288
4830,43.9153,117.2107
4835,44.1875,117.132
4840,44.2895,117.1451
4845,44.2215,117.0926
4850,44.0854,117.0926
4855,44.2895,117.1188
4860,44.3916,117.2107
4865,43.7793,117.2107
4870,44.1534,117.1713
4875,44.2895,117.1844
4880,43.7793,116.8826
4885,44.0854,117.0795
4890,43.9153,117.0007
4895,43.7453,117.0795
4900,43.9493,116.9876
4905,44.0854,117.1057
4910,43.7793,117.0795
4915,43.5412,117.0139
4920,43.5412,116.8564
